id;vehicles_per_day;strassen_laenge;Unfaelle_todesfolge;Unfaelle_schwer;Unfaelle_leicht;real_labels_print;cnn_prediction;x_coord_print;y_coord_print
000000;2736;2.855;1;2;3;1;1;2677630.0;1269280.0
000001;918;Feb 59;0;4;6;2;2;2627750.0;1264420.0
000002;2526;1.185;0;2;2;2;2;2689620.0;1214670.0
000003;2232;1.595;1;0;11;1;1;2626550.0;1229930.0
000004;2677;1.3800000000000001;0;1;8;1;1;2648910.0;1218250.0
000005;13046;03. Apr;0;3;13;0;0;2718700.0;1088910.0
000006;1769;0.79;0;1;0;3;0;2630410.0;1233500.0
000007;950;Jan 23;0;0;3;2;2;2736090.0;1264050.0
000008;2429;02. Nov;0;6;12;1;1;2535770.0;1159820.0
000009;1047;0.89;0;0;0;0;2;2610650.0;1187780.0
000010;11847;2.795;0;1;12;0;0;2751230.0;1260170.0
000011;1113;1.045;0;0;1;2;2;2728530.0;1223630.0
000012;897;0.745;0;0;1;3;3;2531920.0;1179020.0
000013;3277;3.325;0;2;22;1;1;2761330.0;1204550.0
000014;1026;1.325;0;0;1;2;2;2680430.0;1263550.0
000015;482;0.78;0;0;0;0;0;2733370.0;1242420.0
000016;961;Jan 26;0;0;0;0;0;2689370.0;1233570.0
000017;161;0.84;0;0;0;0;3;2535220.0;1168880.0
000018;905;Jan 18;0;0;0;0;3;2730550.0;1263800.0
000019;2069;1.1400000000000001;0;3;0;2;2;2660300.0;1235090.0
000020;7043;Jan 98;0;0;2;1;1;2682670.0;1201660.0
000021;135;0.915;0;0;0;0;0;2611290.0;1174740.0
000022;656;1.0150000000000001;0;0;1;3;0;2560480.0;1192560.0
000023;1128;Jan 56;0;2;6;2;3;2557270.0;1146900.0
000024;291;0.9550000000000001;0;0;0;0;0;2552690.0;1183250.0
000025;1550;0.64;0;0;0;0;0;2713340.0;1176370.0
000026;149;0.92;0;0;0;0;0;2765580.0;1203410.0
000027;1170;1.7850000000000001;0;0;10;2;1;2588290.0;1147290.0
000028;2201;0.68;0;0;0;0;0;2829800.0;1196600.0
000029;1844;0.89;1;1;8;2;3;2634660.0;1172760.0
000030;1509;Jan 25;0;0;7;2;2;2612970.0;1227040.0
000031;789;2.0100000000000002;1;2;2;3;2;2688700.0;1165910.0
000032;3633;Jan 32;0;2;4;1;1;2674040.0;1260990.0
000033;1730;Feb 95;0;4;47;1;1;2710440.0;1226140.0
000034;1386;3.335;2;9;41;1;1;2538820.0;1181250.0
000035;2711;2.525;0;7;16;1;0;2656410.0;1210640.0
000036;128;1.035;0;0;0;0;3;2632080.0;1235760.0
000037;810;0.72;0;0;3;3;0;2575480.0;1236170.0
000038;2146;Jan 28;0;0;3;2;2;2581030.0;1193310.0
000039;1317;0.745;0;0;2;2;0;2669390.0;1226290.0
000040;954;0.675;0;2;0;3;3;2712630.0;1279280.0
000041;8265;Feb 42;2;17;34;1;1;2502610.0;1116770.0
000042;8331;Feb 32;0;0;13;1;0;2603580.0;1208200.0
000043;10330;3.005;0;1;9;0;0;2694030.0;1248400.0
000044;995;Jan 57;0;2;9;2;2;2547460.0;1154280.0
000045;570;0.72;0;0;0;0;3;2734810.0;1245460.0
000046;996;0.785;0;0;1;3;0;2582980.0;1178830.0
000047;7231;3.125;0;2;0;1;0;2744300.0;1219500.0
000048;1907;2.105;0;3;12;1;1;2747200.0;1263280.0
000049;827;0.88;0;0;1;3;0;2613550.0;1224060.0
000050;1456;1.045;0;1;0;3;3;2719300.0;1101680.0
000051;2340;0.6900000000000001;0;1;3;2;2;2710220.0;1223460.0
000052;2189;0.6950000000000001;0;1;0;3;1;2756410.0;1218440.0
000053;206;0.995;0;0;0;0;3;2549530.0;1149360.0
000054;329;Jan 24;0;0;4;3;0;2556720.0;1187750.0
000055;6309;0.8150000000000001;0;3;12;1;3;2685390.0;1222430.0
000056;195;0.96;1;0;0;4;4;2749780.0;1173410.0
000057;19315;Apr 37;2;11;19;0;0;2694450.0;1256100.0
000058;2378;0.71;0;1;3;2;3;2707130.0;1279930.0
000059;403;0.595;0;0;0;0;2;2702230.0;1285000.0
000060;2647;Jan 43;0;0;4;1;2;2723690.0;1243650.0
000061;967;01. Mär;0;0;1;2;3;2597060.0;1222340.0
000062;1052;0.8200000000000001;0;0;1;3;3;2650290.0;1263430.0
000063;3655;Jan 18;0;0;3;1;0;2760960.0;1248870.0
000064;417;0.765;0;0;0;0;3;2650270.0;1115580.0
000065;17446;Mär 37;0;1;11;0;0;2624130.0;1266020.0
000066;4090;3.265;0;6;51;1;1;2678960.0;1251130.0
000067;283;Jan 62;0;1;2;3;3;2519620.0;1147360.0
000068;903;01. Feb;1;1;1;3;0;2611350.0;1238640.0
000069;2103;Jan 85;0;1;14;1;1;2710080.0;1262010.0
000070;261;Feb 33;0;0;4;3;2;2655410.0;1233950.0
000071;1834;Jan 43;0;3;8;2;3;2628970.0;1217290.0
000072;282;1.375;0;0;0;0;0;2707520.0;1271660.0
000073;1518;0.645;0;0;1;2;2;2689610.0;1132080.0
000074;4127;01. Feb;0;10;10;1;2;2615900.0;1271740.0
000075;2424;1.375;0;0;5;1;1;2588960.0;1200320.0
000076;192;0.7000000000000001;0;0;0;0;0;2589760.0;1185010.0
000077;342;Jan 21;0;0;0;0;0;2634480.0;1253040.0
000078;642;0.655;0;0;0;0;2;2731500.0;1200490.0
000079;501;0.88;0;0;0;0;2;2681440.0;1229300.0
000080;2617;Jan 16;0;1;8;2;0;2597680.0;1204150.0
000081;1441;4.405;1;9;53;1;1;2696590.0;1245590.0
000082;2651;0.755;0;0;4;2;3;2648620.0;1136030.0
000083;2823;3.045;0;7;28;1;1;2737660.0;1253590.0
000084;1029;Jan 31;0;0;1;2;2;2607130.0;1221560.0
000085;365;Jan 47;0;0;1;3;3;2751660.0;1174510.0
000086;530;Jan 22;0;0;2;3;3;2511880.0;1146070.0
000087;656;1.025;0;0;2;3;0;2579840.0;1133550.0
000088;1819;0.73;0;1;2;2;3;2732390.0;1242810.0
000089;17108;Feb 25;0;1;6;0;0;2677000.0;1244930.0
000090;1731;0.665;0;0;1;2;0;2634660.0;1259040.0
000091;542;0.73;0;0;0;0;3;2628620.0;1225490.0
000092;13534;2.575;0;4;7;0;0;2639230.0;1266040.0
000093;257;01. Mär;0;1;0;3;3;2691920.0;1226650.0
000094;452;Jan 37;0;0;3;3;3;2565780.0;1174300.0
000095;404;0.78;0;0;0;0;3;2662140.0;1226420.0
