id;vehicles_per_day;strassen_laenge;Unfaelle_todesfolge;Unfaelle_schwer;Unfaelle_leicht;real_labels_print;cnn_prediction;x_coord_print;y_coord_print
0;2736;2.855;1;2;3;1;1;2677630.0;1269280.0
1;918;Feb 59;0;4;6;2;2;2627750.0;1264420.0
2;2526;1.185;0;2;2;2;2;2689620.0;1214670.0
3;2232;1.595;1;0;11;1;1;2626550.0;1229930.0
4;2677;1.3800000000000001;0;1;8;1;1;2648910.0;1218250.0
5;13046;03. Apr;0;3;13;0;0;2718700.0;1088910.0
6;1769;0.79;0;1;0;3;0;2630410.0;1233500.0
7;950;Jan 23;0;0;3;2;2;2736090.0;1264050.0
8;2429;02. Nov;0;6;12;1;1;2535770.0;1159820.0
9;1047;0.89;0;0;0;0;2;2610650.0;1187780.0
10;11847;2.795;0;1;12;0;0;2751230.0;1260170.0
11;1113;1.045;0;0;1;2;2;2728530.0;1223630.0
12;897;0.745;0;0;1;3;3;2531920.0;1179020.0
13;3277;3.325;0;2;22;1;1;2761330.0;1204550.0
14;1026;1.325;0;0;1;2;2;2680430.0;1263550.0
15;482;0.78;0;0;0;0;0;2733370.0;1242420.0
16;961;Jan 26;0;0;0;0;0;2689370.0;1233570.0
17;161;0.84;0;0;0;0;3;2535220.0;1168880.0
18;905;Jan 18;0;0;0;0;3;2730550.0;1263800.0
19;2069;1.1400000000000001;0;3;0;2;2;2660300.0;1235090.0
20;7043;Jan 98;0;0;2;1;1;2682670.0;1201660.0
21;135;0.915;0;0;0;0;0;2611290.0;1174740.0
22;656;1.0150000000000001;0;0;1;3;0;2560480.0;1192560.0
23;1128;Jan 56;0;2;6;2;3;2557270.0;1146900.0
24;291;0.9550000000000001;0;0;0;0;0;2552690.0;1183250.0
25;1550;0.64;0;0;0;0;0;2713340.0;1176370.0
26;149;0.92;0;0;0;0;0;2765580.0;1203410.0
27;1170;1.7850000000000001;0;0;10;2;1;2588290.0;1147290.0
28;2201;0.68;0;0;0;0;0;2829800.0;1196600.0
29;1844;0.89;1;1;8;2;3;2634660.0;1172760.0
30;1509;Jan 25;0;0;7;2;2;2612970.0;1227040.0
31;789;2.0100000000000002;1;2;2;3;2;2688700.0;1165910.0
32;3633;Jan 32;0;2;4;1;1;2674040.0;1260990.0
33;1730;Feb 95;0;4;47;1;1;2710440.0;1226140.0
34;1386;3.335;2;9;41;1;1;2538820.0;1181250.0
35;2711;2.525;0;7;16;1;0;2656410.0;1210640.0
36;128;1.035;0;0;0;0;3;2632080.0;1235760.0
37;810;0.72;0;0;3;3;0;2575480.0;1236170.0
38;2146;Jan 28;0;0;3;2;2;2581030.0;1193310.0
39;1317;0.745;0;0;2;2;0;2669390.0;1226290.0
40;954;0.675;0;2;0;3;3;2712630.0;1279280.0
41;8265;Feb 42;2;17;34;1;1;2502610.0;1116770.0
42;8331;Feb 32;0;0;13;1;0;2603580.0;1208200.0
43;10330;3.005;0;1;9;0;0;2694030.0;1248400.0
44;995;Jan 57;0;2;9;2;2;2547460.0;1154280.0
45;570;0.72;0;0;0;0;3;2734810.0;1245460.0
46;996;0.785;0;0;1;3;0;2582980.0;1178830.0
47;7231;3.125;0;2;0;1;0;2744300.0;1219500.0
48;1907;2.105;0;3;12;1;1;2747200.0;1263280.0
49;827;0.88;0;0;1;3;0;2613550.0;1224060.0
50;1456;1.045;0;1;0;3;3;2719300.0;1101680.0
51;2340;0.6900000000000001;0;1;3;2;2;2710220.0;1223460.0
52;2189;0.6950000000000001;0;1;0;3;1;2756410.0;1218440.0
53;206;0.995;0;0;0;0;3;2549530.0;1149360.0
54;329;Jan 24;0;0;4;3;0;2556720.0;1187750.0
55;6309;0.8150000000000001;0;3;12;1;3;2685390.0;1222430.0
56;195;0.96;1;0;0;4;4;2749780.0;1173410.0
57;19315;Apr 37;2;11;19;0;0;2694450.0;1256100.0
58;2378;0.71;0;1;3;2;3;2707130.0;1279930.0
59;403;0.595;0;0;0;0;2;2702230.0;1285000.0
60;2647;Jan 43;0;0;4;1;2;2723690.0;1243650.0
61;967;01. Mär;0;0;1;2;3;2597060.0;1222340.0
62;1052;0.8200000000000001;0;0;1;3;3;2650290.0;1263430.0
63;3655;Jan 18;0;0;3;1;0;2760960.0;1248870.0
64;417;0.765;0;0;0;0;3;2650270.0;1115580.0
65;17446;Mär 37;0;1;11;0;0;2624130.0;1266020.0
66;4090;3.265;0;6;51;1;1;2678960.0;1251130.0
67;283;Jan 62;0;1;2;3;3;2519620.0;1147360.0
68;903;01. Feb;1;1;1;3;0;2611350.0;1238640.0
69;2103;Jan 85;0;1;14;1;1;2710080.0;1262010.0
70;261;Feb 33;0;0;4;3;2;2655410.0;1233950.0
71;1834;Jan 43;0;3;8;2;3;2628970.0;1217290.0
72;282;1.375;0;0;0;0;0;2707520.0;1271660.0
73;1518;0.645;0;0;1;2;2;2689610.0;1132080.0
74;4127;01. Feb;0;10;10;1;2;2615900.0;1271740.0
75;2424;1.375;0;0;5;1;1;2588960.0;1200320.0
